mirna,log2FC_edgeR,fdr_edgeR,log2FC_deseq,fdr_deseq,direction,mean_log2FC
hsa-miR-6131,2.79123740148531,0.0,2.812815040645911,0.0,UP in cancer,2.802
hsa-miR-4532,2.04472576985876,0.0,2.0451787958401093,0.0,UP in cancer,2.045
hsa-miR-4783-3p,1.69358662170864,0.0,1.707009470398006,0.0,UP in cancer,1.7003
hsa-miR-4708-3p,1.59206555733266,0.0,1.6259563691423635,0.0,UP in cancer,1.609
hsa-miR-4454,1.5478062564819,4.6764622022207796e-147,1.5630996863041058,4.583627373540273e-138,UP in cancer,1.5555
hsa-miR-1246,1.45210193938763,0.0,1.4784342692277737,0.0,UP in cancer,1.4653
hsa-miR-2467-3p,1.33391996699429,1.71681797043301e-164,1.4687786142102803,9.048602359815065e-204,UP in cancer,1.4013
hsa-miR-1233-5p,1.30629467269559,3.9351451098664697e-185,1.3107427799263631,2.641040163014598e-171,UP in cancer,1.3085
hsa-miR-1307-3p,1.26398266361658,0.0,1.279953602569308,0.0,UP in cancer,1.272
hsa-miR-614,1.21403570582878,1.4191621982561e-277,1.232864559859358,2.3848044891647226e-279,UP in cancer,1.2235
hsa-miR-3648,-1.44017635499032,5.16542403570206e-150,-1.434873960325538,3.930701412301307e-171,DOWN in cancer,-1.4375
hsa-miR-1343-5p,-1.46510973059361,2.07848330160762e-172,-1.4404142678536718,1.7684450740155404e-190,DOWN in cancer,-1.4528
hsa-miR-4271,-1.45803457524387,0.0,-1.4506899251969134,0.0,DOWN in cancer,-1.4544
hsa-miR-8069,-1.58524844819796,4.09285180359994e-131,-1.5481730481557516,1.1201509816570734e-145,DOWN in cancer,-1.5667
hsa-miR-6729-5p,-1.61780083520785,7.86320392340343e-155,-1.5958696600608968,8.456921138420381e-178,DOWN in cancer,-1.6068
hsa-miR-1915-3p,-1.6849292380645,1.3031448836495899e-160,-1.6848158116291687,2.6741744485647953e-187,DOWN in cancer,-1.6849
hsa-miR-6805-5p,-1.70504340212859,6.5742541891673904e-167,-1.6853787602338062,1.323609970778931e-193,DOWN in cancer,-1.6952
hsa-miR-4281,-1.76470603827972,3.12144615061835e-180,-1.7528336242994154,1.2258527815466e-210,DOWN in cancer,-1.7588
hsa-miR-1908-5p,-1.91827410968048,0.0,-1.910635667440192,0.0,DOWN in cancer,-1.9145
hsa-miR-1228-5p,-2.01781437088561,9.74237e-318,-1.9924825734546512,0.0,DOWN in cancer,-2.0051
