"mirna","log2FC","logCPM","p_value","fdr","significant"
"hsa-miR-6131",2.79123740148531,11.3676422378427,0,0,TRUE
"hsa-miR-4532",2.04472576985876,13.7317067632736,0,0,TRUE
"hsa-miR-1908-5p",-1.91827410968048,13.9926779752083,0,0,TRUE
"hsa-miR-4783-3p",1.69358662170864,9.13276569620399,0,0,TRUE
"hsa-miR-4708-3p",1.59206555733266,8.9888435615587,0,0,TRUE
"hsa-miR-4271",-1.45803457524387,10.2271130855684,0,0,TRUE
"hsa-miR-1246",1.45210193938763,8.9125489100384,0,0,TRUE
"hsa-miR-575",-1.28312050505287,9.9492613866233,0,0,TRUE
"hsa-miR-1307-3p",1.26398266361658,9.44108678768705,0,0,TRUE
"hsa-miR-486-3p",-1.1697374388572,10.3575522850624,0,0,TRUE
"hsa-miR-4286",1.10935287708127,8.52021145179002,0,0,TRUE
"hsa-miR-885-3p",1.0750487973357,8.58433370578194,0,0,TRUE
"hsa-miR-1202",-1.06374020403778,9.49119805647943,0,0,TRUE
"hsa-miR-4732-5p",0.935691793617308,8.79276448139918,0,0,TRUE
"hsa-miR-125a-3p",-1.28432606924371,9.06072317039761,2.17388884170148e-322,7.90010967700153e-321,TRUE
"hsa-miR-1228-5p",-2.01781437088561,13.4525792848678,2.86014602377498e-319,9.74237177590146e-318,TRUE
"hsa-miR-8071",-1.20407930926816,9.82202584137087,1.29490120647058e-315,4.1513009265972e-314,TRUE
"hsa-miR-3180-3p",-1.33975515917252,11.0626402476246,1.00999222428709e-280,3.05803201242481e-279,TRUE
"hsa-miR-614",1.21403570582878,10.2697743000276,4.94753793887449e-279,1.4191621982561e-277,TRUE
"hsa-miR-135a-3p",-1.25709515051427,8.98029406722424,2.65911636331542e-250,7.24609209003453e-249,TRUE
"hsa-miR-6800-5p",-1.34388429541721,10.6802822051973,3.76038774124971e-239,9.75910151895758e-238,TRUE
"hsa-miR-6769a-5p",0.95990770006884,8.87624442728258,2.37745520415976e-211,5.88960493757758e-210,TRUE
"hsa-miR-887-3p",-0.884333450962995,9.48988157635991,2.64413794320072e-211,6.26545730019302e-210,TRUE
"hsa-miR-1238-5p",0.844485282069239,8.54136331144616,2.50525416747178e-201,5.68901467196718e-200,TRUE
"hsa-miR-1260a",0.788621453076078,8.80718981505057,4.30468632152669e-199,9.38421618092819e-198,TRUE
"hsa-miR-4530",-1.28916369888743,11.7653880347688,4.04911442017764e-195,8.48756676537235e-194,TRUE
"hsa-miR-5090",-0.983228088805617,9.56151682520512,3.05552532324448e-193,6.16763444877127e-192,TRUE
"hsa-miR-1233-5p",1.30629467269559,12.9946623514402,2.02172592800479e-186,3.93514510986647e-185,TRUE
"hsa-miR-4486",-0.761573727550378,9.90885253886944,7.19453993593474e-185,1.35207733278774e-183,TRUE
"hsa-miR-4281",-1.76470603827972,12.8386845371462,1.71822723887249e-181,3.12144615061835e-180,TRUE
"hsa-miR-711",-0.94922270378769,10.4754534263626,2.03810637831389e-174,3.58312250380991e-173,TRUE
"hsa-miR-6805-3p",-0.825871334770015,9.74040512899037,4.85264652738515e-174,8.26466361695284e-173,TRUE
"hsa-miR-1343-5p",-1.46510973059361,11.568422116175,1.25853117345048e-173,2.07848330160762e-172,TRUE
