mirna,mean_cancer,mean_healthy,log2_fold_change,p_value,rank,fdr,significant
hsa-miR-1908-5p,7.2253,10.6065,-3.3812,0.0,1,0.0,True
hsa-miR-6875-5p,5.5944,7.6009,-2.0065,0.0,2,0.0,True
hsa-miR-3141,4.5194,6.6273,-2.1079,0.0,3,0.0,True
hsa-miR-125a-3p,2.9338,5.6539,-2.7201,0.0,4,0.0,True
hsa-miR-1254,3.5717,5.5317,-1.9601,0.0,5,0.0,True
hsa-miR-1909-3p,5.2999,7.2607,-1.9608,0.0,6,0.0,True
hsa-miR-6805-3p,4.2182,6.2872,-2.069,0.0,7,0.0,True
hsa-miR-575,4.121,6.6508,-2.5298,0.0,8,0.0,True
hsa-miR-6806-5p,3.8382,5.7278,-1.8896,0.0,9,0.0,True
hsa-miR-483-3p,3.5766,5.1307,-1.5541,0.0,10,0.0,True
hsa-miR-8071,4.0697,6.3789,-2.3091,0.0,11,0.0,True
hsa-miR-3616-3p,3.3721,5.293,-1.9209,0.0,12,0.0,True
hsa-miR-135a-3p,2.7312,5.4929,-2.7618,0.0,13,0.0,True
hsa-miR-486-3p,4.3963,7.0577,-2.6613,0.0,14,0.0,True
hsa-miR-6842-5p,3.9828,5.678,-1.6952,0.0,15,0.0,True
hsa-miR-4486,4.48,6.5115,-2.0315,0.0,16,0.0,True
hsa-miR-3622a-3p,3.1345,4.8773,-1.7427,0.0,17,0.0,True
hsa-miR-486-5p,2.9133,5.1516,-2.2383,0.0,18,0.0,True
hsa-miR-1910-5p,2.8528,4.8965,-2.0437,0.0,19,0.0,True
hsa-miR-4271,3.886,6.8101,-2.9241,0.0,20,0.0,True
hsa-miR-150-3p,2.7483,5.1003,-2.352,0.0,21,0.0,True
hsa-miR-887-3p,3.9252,6.0523,-2.1271,0.0,22,0.0,True
hsa-miR-1202,3.756,6.1899,-2.4339,0.0,23,0.0,True
hsa-miR-1203,3.7708,5.4239,-1.653,0.0,24,0.0,True
hsa-miR-4707-3p,3.9394,5.9286,-1.9892,0.0,25,0.0,True
