mirna,mean_cancer,mean_healthy,log2FC,se,t_stat,df_welch,p_value,rank,fdr_bh,significant
hsa-miR-1908-5p,7.2253,10.6065,-3.3812,0.062624,-53.9923,2539.1,0.0,1,0.0,True
hsa-miR-6875-5p,5.5944,7.6009,-2.0065,0.043988,-45.6133,2798.8,0.0,2,0.0,True
hsa-miR-3141,4.5194,6.6273,-2.1079,0.044861,-46.9874,2532.5,0.0,3,0.0,True
hsa-miR-125a-3p,2.9338,5.6539,-2.7201,0.046877,-58.0264,2277.5,0.0,4,0.0,True
hsa-miR-1254,3.5717,5.5317,-1.9601,0.036628,-53.5119,2269.3,0.0,5,0.0,True
hsa-miR-1909-3p,5.2999,7.2607,-1.9608,0.043489,-45.0874,3297.7,0.0,6,0.0,True
hsa-miR-6805-3p,4.2182,6.2872,-2.069,0.04216,-49.0743,2726.1,0.0,7,0.0,True
hsa-miR-575,4.121,6.6508,-2.5298,0.036007,-70.2587,2891.6,0.0,8,0.0,True
hsa-miR-6806-5p,3.8382,5.7278,-1.8896,0.041436,-45.6034,2480.3,0.0,9,0.0,True
hsa-miR-483-3p,3.5766,5.1307,-1.5541,0.032216,-48.2389,1919.6,0.0,10,0.0,True
hsa-miR-8071,4.0697,6.3789,-2.3091,0.042136,-54.801,3335.0,0.0,11,0.0,True
hsa-miR-3616-3p,3.3721,5.293,-1.9209,0.040349,-47.6066,2118.7,0.0,12,0.0,True
hsa-miR-135a-3p,2.7312,5.4929,-2.7618,0.050314,-54.8911,2132.0,0.0,13,0.0,True
hsa-miR-486-3p,4.3963,7.0577,-2.6613,0.048999,-54.3146,2086.2,0.0,14,0.0,True
hsa-miR-6842-5p,3.9828,5.678,-1.6952,0.03542,-47.8593,2548.5,0.0,15,0.0,True
hsa-miR-4486,4.48,6.5115,-2.0315,0.042112,-48.2397,2654.9,0.0,16,0.0,True
hsa-miR-3622a-3p,3.1345,4.8773,-1.7427,0.036747,-47.4256,2045.1,0.0,17,0.0,True
hsa-miR-486-5p,2.9133,5.1516,-2.2383,0.047803,-46.8237,2084.0,0.0,18,0.0,True
hsa-miR-1910-5p,2.8528,4.8965,-2.0437,0.042417,-48.1818,2081.5,0.0,19,0.0,True
hsa-miR-4271,3.886,6.8101,-2.9241,0.055529,-52.6592,2469.0,0.0,20,0.0,True
hsa-miR-150-3p,2.7483,5.1003,-2.352,0.048937,-48.0622,2166.3,0.0,21,0.0,True
hsa-miR-887-3p,3.9252,6.0523,-2.1271,0.04396,-48.3872,2886.5,0.0,22,0.0,True
hsa-miR-1202,3.756,6.1899,-2.4339,0.041099,-59.2192,2433.8,0.0,23,0.0,True
hsa-miR-1203,3.7708,5.4239,-1.653,0.034613,-47.7571,2808.9,0.0,24,0.0,True
hsa-miR-4707-3p,3.9394,5.9286,-1.9892,0.037674,-52.8003,2099.3,0.0,25,0.0,True
hsa-miR-3652,3.4107,5.3734,-1.9627,0.040495,-48.4668,2187.2,0.0,26,0.0,True
hsa-miR-3646,2.8115,4.7862,-1.9747,0.042447,-46.5211,2072.3,0.0,27,0.0,True
hsa-miR-498,3.7909,5.6594,-1.8685,0.033543,-55.7046,2030.6,0.0,28,0.0,True
hsa-miR-494-3p,3.4196,5.0762,-1.6566,0.034028,-48.6835,1932.5,0.0,29,0.0,True
hsa-miR-1913,3.6648,5.7071,-2.0422,0.04016,-50.8521,2256.4,0.0,30,0.0,True
hsa-miR-491-5p,3.5275,5.3509,-1.8234,0.033668,-54.1598,2126.7,0.0,31,0.0,True
hsa-miR-5090,3.7724,6.0618,-2.2894,0.051038,-44.8576,2717.5,0.0,32,0.0,True
hsa-miR-3180-3p,4.9538,7.5862,-2.6324,0.052465,-50.1744,2784.0,0.0,33,0.0,True
hsa-miR-671-5p,4.0096,5.7088,-1.6992,0.038867,-43.7191,2960.1,1.4e-322,34,2.22e-321,True
hsa-miR-1181,3.0405,5.0686,-2.0281,0.043541,-46.579,2007.6,9.5e-322,35,1.4773e-320,True
hsa-miR-711,4.9528,6.9066,-1.9538,0.045931,-42.5374,3657.6,1.354e-321,36,2.0494e-320,True
hsa-miR-3131,4.0109,6.0563,-2.0453,0.044539,-45.9225,2149.0,2.026e-321,37,2.9837e-320,True
hsa-miR-1914-5p,3.1433,4.8724,-1.7291,0.037013,-46.7163,1950.3,2.332e-320,38,3.3446e-319,True
hsa-miR-1193,3.1204,5.1726,-2.0522,0.044188,-46.4423,2003.9,3.002e-320,39,4.195e-319,True
hsa-miR-1228-5p,5.9465,9.895,-3.9485,0.086802,-45.4887,2226.7,4.3675e-320,40,5.95077e-319,True
hsa-miR-187-5p,4.448,6.4624,-2.0144,0.045728,-44.0522,2681.2,2.23416e-319,41,2.969804e-318,True
hsa-miR-4746-3p,3.9548,5.7672,-1.8124,0.040473,-44.7803,2410.6,3.2984e-319,42,4.28004e-318,True
hsa-miR-3122,3.5197,5.0347,-1.515,0.033199,-45.6332,2129.5,1.02952e-317,43,1.30485697e-316,True
hsa-miR-4481,3.496,5.2139,-1.7179,0.038856,-44.211,2557.4,1.224665e-317,44,1.5169149e-316,True
hsa-miR-6774-5p,4.237,5.8259,-1.5889,0.036009,-44.1242,2577.8,2.7764454e-317,45,3.36258386e-316,True
hsa-miR-484,3.5737,5.1028,-1.5291,0.032495,-47.0574,1806.1,3.6037923e-316,46,4.26971043e-315,True
hsa-miR-4467,6.8171,8.9079,-2.0908,0.048356,-43.2372,2893.6,1.6563257e-315,47,1.920632993e-314,True
hsa-miR-6800-5p,4.4973,7.0933,-2.596,0.059833,-43.3865,2813.9,2.54292817e-315,48,2.8872830285e-314,True
hsa-miR-3162-5p,4.6997,6.2832,-1.5835,0.036609,-43.2558,2722.1,1.3762730891037e-311,49,1.5307527215541e-310,True
hsa-miR-128-1-5p,3.9301,5.7405,-1.8104,0.042279,-42.8209,2905.6,4.9793181526305e-311,50,5.4274567863672e-310,True
hsa-miR-564,3.0793,5.0232,-1.944,0.043282,-44.9141,2138.3,7.5686280830653e-311,51,8.08804373582466e-310,True
hsa-miR-3614-5p,2.7582,4.7748,-2.0166,0.044524,-45.2925,2039.6,1.33784717562717e-310,52,1.402166751378475e-309,True
hsa-miR-3184-5p,4.0051,5.9699,-1.9649,0.046524,-42.233,3161.7,1.79984301091985e-309,53,1.8507819640590905e-308,True
hsa-miR-3622a-5p,3.7524,5.3583,-1.6059,0.036283,-44.2619,2225.4,1.7715529187645844e-307,54,1.787956186530923e-306,True
hsa-miR-718,3.4044,5.3958,-1.9915,0.04451,-44.7418,2089.5,3.2725401140809174e-307,55,3.2427897494074546e-306,True
hsa-miR-4449,4.0601,5.6818,-1.6217,0.038141,-42.5172,2841.2,3.837679251137729e-306,56,3.73488427119654e-305,True
hsa-miR-373-5p,3.6908,5.3133,-1.6225,0.036398,-44.578,2078.7,3.700555187428115e-305,57,3.5382501353479347e-304,True
hsa-miR-3147,2.9924,4.9749,-1.9825,0.044613,-44.437,2101.5,1.185351396147538e-304,58,1.1138215705179453e-303,True
