mirna,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
hsa-miR-1246,30.107082637148057,1.4784342692277737,0.033430227674975665,44.22447503504326,0.0,0.0,True
hsa-miR-575,61.524099837264615,-1.261009407718115,0.026326355051657816,-47.89912637901262,0.0,0.0,True
hsa-miR-1307-3p,43.63886406652703,1.2799536025693081,0.023794454926372045,53.79209595386447,0.0,0.0,True
hsa-miR-486-3p,82.51045919217931,-1.1556416168670343,0.028564071094542624,-40.45787496614332,0.0,0.0,True
hsa-miR-1908-5p,1046.946889013618,-1.9106356674401919,0.03771514682026531,-50.65963753357467,0.0,0.0,True
hsa-miR-4783-3p,35.212123703925855,1.7070094703980059,0.030225273260885595,56.47622953361484,0.0,0.0,True
hsa-miR-4732-5p,27.486379833685938,0.9598930907491887,0.02236573473691049,42.91802178826093,0.0,0.0,True
hsa-miR-125a-3p,32.51958544948145,-1.2655436090355854,0.03261991349606917,-38.79665742179507,0.0,0.0,True
hsa-miR-4708-3p,31.832074774969094,1.6259563691423635,0.04262856974056263,38.142409633678305,0.0,0.0,True
hsa-miR-4532,875.3422657502207,2.0451787958401093,0.05390854666939496,37.93793233534158,0.0,0.0,True
hsa-miR-1228-5p,718.124730373419,-1.9924825734546512,0.047666819556070814,-41.8001996359518,0.0,0.0,True
hsa-miR-6131,169.40777540347608,2.812815040645911,0.04966299769606149,56.638043838199096,0.0,0.0,True
hsa-miR-8071,56.09883105860938,-1.1876508051704302,0.030361518742727956,-39.11697617086071,0.0,0.0,True
hsa-miR-4271,75.2318002437334,-1.4506899251969134,0.03542064428072763,-40.95605697342535,0.0,0.0,True
hsa-miR-1202,44.601477893002134,-1.0535647994993582,0.025033423352182685,-42.086325337021755,0.0,0.0,True
hsa-miR-885-3p,23.560371174491724,1.100819882561235,0.024509459109304257,44.91408307510723,0.0,0.0,True
hsa-miR-4286,22.521506011951374,1.1418254946641102,0.028801139851885548,39.64514948144865,0.0,0.0,True
hsa-miR-3180-3p,135.79365921131696,-1.3298439117615302,0.035734352862712676,-37.21471931702917,3.944806019078426e-303,1.1943996002209678e-301,True
hsa-miR-614,77.89407898424851,1.232864559859358,0.034429936223564536,35.80792458789281,8.31399730167518e-281,2.3848044891647226e-279,True
hsa-miR-6800-5p,103.64365080263721,-1.3241142985167424,0.03887815781744411,-34.058051431712386,3.0847230686104212e-254,8.405870361963398e-253,True
hsa-miR-135a-3p,30.80975386074675,-1.2466327766245364,0.036737729113991986,-33.93331070509043,2.1502855585095893e-252,5.58050299708441e-251,True
hsa-miR-4281,469.13213553526555,-1.7528336242994154,0.05640317228742289,-31.076862403540243,4.948396549362422e-212,1.2258527815466e-210,True
hsa-miR-4530,222.239206884854,-1.273534519356861,0.04110556748444283,-30.982044460007856,9.409096110356736e-211,2.2295466870193135e-209,True
hsa-miR-887-3p,44.345286293566154,-0.866287646347604,0.027977137344864678,-30.964127446963936,1.6398655477548802e-210,3.723861348026707e-209,True
hsa-miR-1260a,27.645363832285042,0.8128253303019976,0.026472232041198966,30.704827950925722,4.9067674137940694e-207,1.0696752962071073e-205,True
hsa-miR-1238-5p,22.759327344715338,0.8589334450209184,0.02806873113179115,30.60107850931939,1.1841786793184193e-205,2.4822206931866864e-204,True
hsa-miR-2467-3p,33.65726556039023,1.4687786142102803,0.048065914277477244,30.557592345611983,4.482793829633151e-205,9.048602359815065e-204,True
hsa-miR-6769a-5p,29.17816095453964,0.972995652227178,0.03250580234457484,29.932983715123378,7.32754782792399e-197,1.4262548450780623e-195,True
