"mirna","log2FC","avg_expr","t_stat","p_value","fdr","B_stat","significant"
"hsa-miR-4783-3p",1.77834701197068,8.5716251183725,49.6660281351191,0,0,953.150623864757,TRUE
"hsa-miR-575",-1.18870343391407,9.61842108718313,-47.139507710468,0,0,875.878655599773,TRUE
"hsa-miR-885-3p",1.23247182111108,8.25110828542632,44.738985319147,0,0,803.603302774485,TRUE
"hsa-miR-1908-5p",-2.12478431841645,13.29270504239,-41.9690013765577,1.31698138555443e-319,1.79438713781791e-317,720.590544649795,TRUE
"hsa-miR-4286",1.36956448701437,8.09681656444368,39.9683693078179,1.77886892072739e-294,1.93896712359286e-292,663.988851323792,TRUE
"hsa-miR-1307-3p",1.06336121836934,9.10629426581966,38.160205259936,3.18904710608502e-272,2.89671778802723e-270,612.795948390314,TRUE
"hsa-miR-4732-5p",0.916257686636587,8.52681849989325,36.7131030516176,9.21962091084303e-255,7.17813342344207e-253,572.620127843426,TRUE
"hsa-miR-1202",-0.972786914719171,9.19945001440572,-36.1450461879882,5.34484158244677e-248,3.64117332804186e-246,557.138218453825,TRUE
"hsa-miR-486-3p",-1.17618435675114,9.9870067039166,-35.1962508410159,8.00506950467388e-237,4.84751431116363e-235,531.448503250821,TRUE
"hsa-miR-3180-3p",-1.33046184365339,10.5222858029512,-33.9459195458467,2.44407087323212e-222,1.33201862591151e-220,498.158828342556,TRUE
"hsa-miR-1228-5p",-2.70271136018912,12.4252556071959,-32.7821809988467,4.05116299576064e-209,2.00716712062686e-207,467.603625168659,TRUE
"hsa-miR-1225-5p",2.02104235007711,7.87190299951953,32.3063686897498,9.11741754811782e-204,4.14082713643684e-202,455.361513217461,TRUE
"hsa-miR-6131",2.10806325143889,9.87374319910419,32.2352643832368,5.35358222690828e-203,2.24438639512693e-201,453.704778886434,TRUE
"hsa-miR-4271",-1.32259979687126,9.67073842330778,-31.4798599864376,1.21034464868131e-194,4.71169881093795e-193,434.477789042645,TRUE
"hsa-miR-6769a-5p",1.25971209671941,8.42081245013299,30.8189036821947,2.01164539235515e-187,7.30897825889039e-186,417.741752820215,TRUE
"hsa-miR-1260a",0.959030614078811,8.48866683872623,29.718583517649,1.22533076128425e-175,4.17378290562447e-174,390.646839670312,TRUE
"hsa-miR-125a-3p",-1.22952406379533,8.59817913071169,-29.5311414930291,1.17566919267868e-173,3.76905711770519e-172,386.26856488459,TRUE
"hsa-miR-498",-0.661167997352864,8.84813070553033,-28.0559676178209,2.41354108739294e-158,7.30766607016196e-157,350.98034864686,TRUE
"hsa-miR-1246",1.04078432677014,8.35713531795278,27.9825628388416,1.35502742543818e-157,3.88678919402004e-156,349.164505500418,TRUE
"hsa-miR-2467-3p",1.28378751909592,8.12328688687116,27.8213685539545,5.98617865171929e-156,1.63123368259351e-154,345.400943127211,TRUE
"hsa-miR-658",1.00916593283053,8.1907349878207,27.4195048492872,6.71762088911605e-152,1.74338256408012e-150,336.09704753962,TRUE
"hsa-miR-4707-3p",-0.715017454501673,9.0765589740579,-26.9291655588707,5.2873737369359e-147,1.30982667574094e-145,324.905908457516,TRUE
"hsa-miR-1238-5p",0.914312612845817,8.18054623141714,26.9170014861514,6.9810965472981e-147,1.65421635577281e-145,324.575906408003,TRUE
